pname,nineties,Shots Assisted,Shots,Shots On Target
Alban Lafont,21.0,1,0,0
Andrei Girotto,20.8,9,16,2
Pedro Chirivella,17.7,18,14,5
Moses Simon,17.4,32,23,6
Ludovic Blas,18.5,25,61,19
Jean-Charles Castelletto,16.3,1,6,2
Nicolas Pallois,15.2,1,4,1
Quentin Merlin,14.1,25,12,3
Samuel Moutoussamy,12.9,8,16,4
Moussa Sissoko,12.7,11,10,3
Mostafa Mohamed,13.4,12,34,10
Evann Guessand,10.5,11,15,8
Dennis Appiah,8.8,4,5,1
Ignatius Ganago,9.2,5,16,6
Fabien Centonze,8.2,3,5,0
Sébastien Corchia,5.8,5,2,1
Marcus Coco,3.2,4,5,1
Charles Traore,2.5,2,0,0
Fábio,2.5,4,3,2
Jaouen Hadjam,2.1,1,1,0
Cédric Hountondji,21.9,3,7,3
Adrien Hunou,17.7,14,34,14
Batista Mendy,18.0,7,6,0
Souleyman Doumbia,16.4,10,4,2
Nabil Bentaleb,16.9,19,20,6
Miha Blažič,16.5,1,5,2
Paul Bernardoni,14.0,0,0,0
Yan Valery,12.1,5,6,1
Azzedine Ounahi,12.5,17,23,6
Amine Salama,11.1,6,20,8
Abdallah Sima,10.3,10,24,5
Sofiane Boufal,9.3,27,21,9
Pierrick Capelle,9.1,8,10,5
Himad Abdelli,8.6,13,9,3
Yahia Fofana,8.0,0,0,0
Sada Thioub,6.1,9,7,0
Lois Diony,4.9,5,10,2
Farid El Melali,4.4,3,6,1
Abdoulaye Bamba,6.2,3,0,0
Ibrahim Amadou,4.5,1,2,0
Fikayo Tomori,17.5,3,6,3
Theo Hernández,17.3,26,32,6
Pierre Kalulu,17.6,3,10,2
Sandro Tonali,16.4,33,22,10
Rafael Leão,15.9,30,58,15
Ismaël Bennacer,15.7,36,7,2
Olivier Giroud,14.0,16,51,15
Ciprian Tătărușanu,14.0,2,0,0
Brahim Díaz,10.6,21,21,8
Davide Calabria,11.1,9,7,1
Junior Messias,9.8,8,17,7
Rade Krunić,7.0,8,6,1
Mike Maignan,7.0,0,0,0
Alexis Saelemaekers,6.7,6,10,3
Simon Kjær,6.6,0,0,0
Charles De Ketelaere,7.7,16,12,3
Matteo Gabbia,6.5,0,1,0
Tommaso Pobega,6.4,4,10,3
Divock Origi,6.3,7,17,8
Ante Rebić,5.7,9,18,9
Vanja Milinković-Savić,21.0,0,0,0
Nikola Vlašić,19.6,39,42,15
Koffi Djidji,16.0,2,8,4
Alessandro Buongiorno,15.1,2,12,0
Karol Linetty,13.3,14,10,4
Perr Schuurs,12.3,4,6,1
Ricardo Rodríguez,14.3,12,6,2
Samuele Ricci,13.3,8,11,4
Saša Lukić,13.3,16,15,3
Aleksei Miranchuk,11.9,23,22,10
Valentino Lazaro,11.8,22,7,2
Antonio Sanabria,11.1,10,22,8
Wilfried Singo,10.9,9,13,2
Mërgim Vojvoda,10.6,12,9,3
Nemanja Radonjić,10.1,11,35,12
Ola Aina,7.5,9,7,3
Demba Seck,4.0,5,7,2
David Zima,4.5,2,4,2
Pietro Pellegri,4.1,4,6,3
Michel Ndary Adopo,2.0,0,1,0
